OBJECTID,FID,AREA,PERIMETER,WOODLAND_,WOODLAND_I,NATURE_COD,Shape_Leng,Acres,Shape_Length,Shape_Area
7584,7584,35036.97102,2011.898772,7186,1420,310,2011.898773,0.804341262,0.005679577,3.45677E-07
7586,7586,733822.6396,5604.93099,6971,2418,310,5604.930889,16.84631722,0.017570206,7.24041E-06
7589,7589,89367.40308,5245.452418,6972,0,0,5245.452479,2.051601286,0.015788225,8.81741E-07
7596,7596,447320.0104,4633.80131,6973,901,310,4633.801257,10.26909508,0.013782756,4.41341E-06
7598,7598,132423.1347,2002.320526,7480,0,0,2002.3205,3.04002904,0.005916417,1.30632E-06
7614,7614,57072.78391,2470.185347,6639,1390,310,2470.185439,1.310215749,0.007762763,5.63191E-07
7618,7618,41251.08826,967.0431982,7483,1825,310,967.0432967,0.946998593,0.003147958,4.0694E-07
7622,7622,152892.1124,5588.707693,7098,1410,310,5588.707616,3.509933733,0.017692737,1.50849E-06
7625,7625,130009.6962,3320.762624,7485,1578,310,3320.762543,2.984623408,0.010950259,1.2825E-06
7632,7632,87166.70483,2421.542381,7100,1535,310,2421.542439,2.001080528,0.007642,8.60002E-07
7635,7635,124682.4748,3201.963953,7195,1520,310,3201.963722,2.862327152,0.0099883,1.23009E-06
7654,7654,52.52699637,45.77205199,6980,1597,310,45.77210578,0.001205863,0.000161699,5.18276E-10
7658,7658,127527.4981,1856.726205,6981,2415,310,1856.726339,2.927640495,0.006060112,1.25829E-06
7671,7671,54270.6999,1616.351031,7203,1521,310,1616.351013,1.245888965,0.005315014,5.35428E-07
7677,7677,38640.10785,1358.686623,7110,0,0,1358.686643,0.887058297,0.004160132,3.81228E-07
7678,7678,116738.58,1305.160393,6984,902,310,1305.160428,2.679959805,0.00418517,1.1518E-06
7682,7682,41314.28253,1402.58702,7111,1548,310,1402.587022,0.948449172,0.004505884,4.0762E-07
7683,7683,16378.33583,716.077257,6652,1601,310,716.0773564,0.375996461,0.002428234,1.61621E-07
7686,7686,352679.3421,4492.598712,6553,1283,310,4492.598763,8.096436833,0.013837597,3.48029E-06
7690,7690,42255.125,1345.507631,6654,1646,310,1345.507715,0.970048124,0.004030375,4.16957E-07
7699,7699,64327.1877,1510.703807,7209,831,310,1510.703804,1.476754905,0.00501422,6.34645E-07
7718,7718,358761.3091,6744.198508,6561,1284,310,6744.19841,8.236059037,0.02087816,3.54025E-06
7721,7721,296664.1812,4342.081751,7214,830,310,4342.081739,6.810499402,0.014174134,2.9268E-06
7722,7722,219718.4007,5067.515075,7121,1546,310,5067.515135,5.044060544,0.017029349,2.16781E-06
7724,7724,29802.82005,1044.026105,7215,1421,310,1044.02611,0.684181223,0.003325091,2.94038E-07
7727,7727,32536.59513,2004.809011,6563,2536,310,2004.809019,0.746940525,0.007162475,3.21084E-07
7730,7730,1773409.59,9688.26086,6664,1564,310,9688.261058,40.71204575,0.031390624,1.74988E-05
7732,7732,67874.66265,1110.429624,6565,1598,310,1110.429617,1.558193916,0.003712206,6.69798E-07
7736,7736,123171.8749,2164.019211,6566,0,0,2164.019099,2.827648342,0.007081851,1.21548E-06
