OBJECTID,pointid,grid_code
694,694,13.68167114
695,695,13.69876099
696,696,13.90383911
697,697,13.89358521
698,698,13.87307739
699,699,13.71585083
700,700,13.76370239
701,701,13.89016724
702,702,14.23880005
703,703,14.55667114
704,704,15.02493286
705,705,15.61624146
706,706,16.36138916
707,707,17.30819702
708,708,18.28573608
709,709,19.36923218
710,710,20.10754395
711,711,21.48501587
712,712,22.95474243
713,713,25.42941284
714,714,27.90744019
715,715,30.40603638
716,716,32.6038208
717,717,34.96224976
718,718,36.99255371
719,719,38.43154907
720,720,39.4671936
721,721,39.74404907
722,722,39.59024048
723,723,39.2484436
724,724,38.80410767
725,725,37.85733032
726,726,37.30703735
727,727,36.63366699
728,728,35.50570679
729,729,34.62728882
730,730,34.27182007
731,731,35.20150757
732,732,36.55163574
733,733,37.06433105
734,734,36.75671387
735,735,35.91244507
736,736,35.38265991
737,737,35.61166382
738,738,36.32946777
739,739,37.1361084
740,740,37.78555298
741,741,38.22305298
742,742,38.36660767
743,743,38.46231079
744,744,38.06240845
745,745,36.74304199
746,746,34.99301147
747,747,34.61361694
748,748,34.32992554
749,749,34.41195679
750,750,34.85971069
751,751,35.76547241
752,752,36.89343262
753,753,37.80606079
754,754,38.99551392
755,755,40.07901001
756,756,40.71820068
757,757,41.04974365
758,758,40.49945068
759,759,39.90127563
760,760,39.3031311
761,761,38.87930298
762,762,38.01455688
763,763,37.10876465
764,764,36.45593262
765,765,36.07650757
766,766,36.20297241
767,767,36.72253418
768,768,37.06774902
769,769,37.03356934
770,770,36.88659668
771,771,36.91052246
772,772,36.97888184
773,773,37.00964355
774,774,37.0267334
775,775,37.12243652
776,776,37.42666626
777,777,37.95986938
778,778,38.43496704
779,779,38.5819397
780,780,38.42471313
781,781,38.18203735
782,782,37.78897095
783,783,37.24551392
784,784,36.42858887
785,785,36.01498413
786,786,36.15170288
787,787,36.9720459
788,788,37.44717407
789,789,37.90859985
790,790,38.22647095
791,791,38.78359985
792,792,39.34072876
793,793,39.18692017
794,794,38.61611938
795,795,38.20596313
796,796,38.16836548
797,797,38.33242798
798,798,38.79727173
799,799,39.32022095
800,800,39.37149048
801,801,39.4569397
802,802,38.56826782
803,803,38.11709595
804,804,38.72549438
805,805,38.99209595
806,806,38.58535767
807,807,37.28652954
808,808,35.48178101
809,809,32.65509033
810,810,30.42996216
811,811,28.06124878
812,812,25.7507019
813,813,23.61099243
814,814,22.23013306
815,815,22.46255493
816,816,23.37173462
817,817,24.75604248
818,818,25.77120972
819,819,27.56564331
820,820,29.14822388
821,821,30.47439575
822,822,31.61599731
823,823,32.70635986
824,824,33.17123413
825,825,33.62240601
826,826,34.58285522
827,827,35.17416382
828,828,35.88851929
829,829,36.79431152
830,830,37.23181152
831,831,37.10192871
832,832,36.3157959
833,833,35.53988647
834,834,34.73666382
835,835,34.09066772
836,836,33.51986694
837,837,33.00372314
838,838,32.48760986
839,839,33.09259033
840,840,33.58480835
841,841,32.80206299
842,842,31.05545044
843,843,28.08520508
844,844,25.71652222
845,845,23.64859009
846,846,21.49868774
847,847,20.11779785
848,848,19.5093689
849,849,19.37606812
850,850,19.37606812
851,851,19.5743103
852,852,20.50061035
853,853,21.21157837
854,854,22.15493774
855,855,22.59243774
856,856,22.91372681
857,857,22.81118774
858,858,22.37368774
859,859,21.37905884
860,860,19.94689941
861,861,18.30282593
862,862,16.98690796
863,863,16.05718994
864,864,15.35305786
865,865,14.89846802
866,866,14.76174927
867,867,14.95999146
868,868,14.98733521
869,869,14.78567505
870,870,14.31057739
871,871,13.89700317
872,872,13.63381958
873,873,13.58938599
874,874,13.58596802
875,875,13.63040161
876,876,13.70559692
877,877,13.82522583
878,878,13.91067505
879,879,13.9927063
880,880,13.88674927
881,881,13.81155396
882,882,13.74661255
883,883,13.7739563
884,884,13.63723755
885,885,13.37405396
886,886,13.27835083
887,887,13.25784302
888,888,13.40823364
889,889,13.64749146
890,890,13.90042114
891,891,14.30374146
892,892,14.92922974
893,893,15.86920166
894,894,17.43807983
895,895,19.5093689
896,896,21.88491821
897,897,23.75454712
898,898,25.68234253
899,899,27.3366394
900,900,28.88500977
901,901,29.34988403
902,902,29.25759888
903,903,29.05932617
904,904,28.94995117
905,905,29.06958008
906,906,29.26101685
907,907,29.54812622
908,908,29.54812622
909,909,30.24197388
910,910,31.05545044
911,911,32.55596924
912,912,33.86849976
913,913,35.61849976
914,914,36.95837402
915,915,37.35147095
916,916,37.34463501
917,917,37.46084595
918,918,37.42324829
919,919,37.48135376
920,920,37.50527954
921,921,37.47109985
922,922,36.97546387
923,923,35.98080444
924,924,34.67855835
925,925,34.1043396
926,926,34.30258179
927,927,34.62045288
928,928,34.84262085
929,929,35.03744507
930,930,35.20150757
931,931,35.53988647
932,932,35.65609741
933,933,35.16049194
934,934,34.09408569
935,935,33.06182861
936,936,31.868927
937,937,31.99539185
938,938,32.56964111
939,939,32.99346924
940,940,32.89776611
941,941,32.25518799
942,942,32.0774231
943,943,30.40945435
944,944,27.86984253
945,945,25.29611206
946,946,23.42984009
947,947,21.97720337
948,948,20.53137207
949,949,19.60507202
950,950,19.09921265
951,951,19.32479858
952,952,19.79989624
953,953,20.06311035
954,954,19.64266968
955,955,19.20175171
956,956,18.11483765
957,957,17.52694702
958,958,16.78521729
959,959,16.19732666
960,960,15.37014771
961,961,14.83694458
962,962,14.48831177
963,963,14.16702271
964,964,13.94485474
965,965,13.74319458
966,966,13.51760864
967,967,13.37063599
968,968,13.23391724
969,969,13.15530396
970,970,13.30911255
971,971,13.24758911
972,972,13.24417114
973,973,13.53811646
974,974,13.85940552
975,975,14.61135864
976,976,15.77688599
977,977,17.0586853
978,978,18.30966187
979,979,19.03427124
980,980,20.19641113
981,981,21.4269104
982,982,22.99917603
983,983,24.91326904
984,984,27.23068237
985,985,29.1242981
986,986,31.38699341
987,987,33.79672241
988,988,35.22201538
989,989,34.6512146
990,990,33.34896851
991,991,32.46026611
992,992,32.37823486
993,993,32.47052002
994,994,32.86358643
995,995,33.16439819
996,996,32.19708252
997,997,30.87088013
998,998,30.37527466
999,999,30.89480591
1000,1000,31.66726685
1001,1001,32.48760986
1002,1002,33.07891846
1003,1003,33.58139038
1004,1004,33.91976929
1005,1005,34.07699585
1006,1006,33.92318726
1007,1007,33.74887085
1008,1008,33.72494507
1009,1009,33.89584351
1010,1010,34.66146851
1011,1011,35.55355835
1012,1012,36.37390137
1013,1013,36.82849121
1014,1014,37.1361084
1015,1015,37.39932251
1016,1016,37.4437561
1017,1017,37.8812561
1018,1018,38.36660767
1019,1019,38.87246704
1020,1020,39.27578735
1021,1021,39.49795532
1022,1022,39.42959595
1023,1023,39.78164673
1024,1024,41.36422729
1025,1025,42.76559448
1026,1026,44.32418823
1027,1027,45.47268677
1028,1028,46.87063599
1029,1029,47.70803833
1030,1030,47.61575317
1031,1031,45.53079224
1032,1032,42.33151245
1033,1033,39.27920532
1034,1034,36.80114746
1035,1035,34.82553101
1036,1036,33.33187866
1037,1037,33.03790283
1038,1038,33.06182861
1039,1039,33.87533569
1040,1040,34.80160522
1041,1041,35.52279663
1042,1042,36.5892334
1043,1043,37.47793579
1044,1044,38.18887329
1045,1045,38.13760376
1046,1046,37.56680298
1047,1047,36.87634277
1048,1048,36.20639038
1049,1049,35.19467163
1050,1050,34.35043335
1051,1051,33.89584351
1052,1052,33.45492554
1053,1053,33.82406616
1054,1054,34.26498413
1055,1055,35.03744507
1056,1056,35.75521851
1057,1057,36.31237793
1058,1058,36.48327637
1059,1059,36.17221069
1060,1060,35.46469116
1061,1061,34.68881226
1062,1062,33.64291382
1063,1063,32.66534424
1064,1064,31.90994263
1065,1065,31.17849731
1066,1066,30.5017395
1067,1067,29.66433716
1068,1068,29.10720825
1069,1069,28.91577148
1070,1070,28.76879883
1071,1071,28.61499023
1072,1072,28.28344727
1073,1073,27.78097534
1074,1074,27.18283081
1075,1075,26.53683472
1076,1076,26.2428894
1077,1077,26.55050659
1078,1078,27.62033081
1079,1079,28.13647461
1080,1080,29.00805664
1081,1081,30.38894653
1082,1082,31.18875122
1083,1083,29.81472778
1084,1084,28.16723633
1085,1085,26.29415894
1086,1086,24.84832764
1087,1087,23.32046509
1088,1088,21.82681274
1089,1089,20.4630127
1090,1090,19.47177124
1091,1091,18.70614624
1092,1092,18.04989624
1093,1093,17.51669312
1094,1094,16.85357666
1095,1095,16.22467041
1096,1096,15.55471802
1097,1097,14.62844849
1098,1098,13.47659302
1099,1099,12.40673828
1100,1100,11.83935547
1101,1101,11.37789917
1102,1102,11.02243042
1103,1103,10.84811401
1104,1104,10.86862183
1105,1105,10.93014526
1106,1106,11.00875854
1107,1107,11.03610229
1108,1108,11.03952026
1109,1109,11.09762573
1110,1110,11.1010437
1111,1111,11.13864136
1112,1112,11.36764526
1113,1113,11.56588745
1114,1114,11.77096558
1115,1115,12.18457031
1116,1116,12.63916016
1117,1117,13.08010864
1118,1118,13.35354614
1119,1119,13.46975708
1120,1120,13.47659302
1121,1121,13.61331177
1122,1122,13.86624146
1123,1123,14.09182739
1124,1124,14.60794067
1125,1125,15.08303833
1126,1126,15.47610474
1127,1127,15.68460083
1128,1128,15.61624146
1129,1129,15.84524536
1130,1130,15.65725708
1131,1131,15.31546021
1132,1132,14.93606567
1133,1133,14.42337036
1134,1134,14.31399536
1135,1135,13.83547974
1136,1136,13.52444458
1137,1137,12.9536438
1138,1138,12.99124146
1139,1139,13.11087036
1140,1140,13.20657349
1141,1141,13.29885864
1142,1142,13.36038208
1143,1143,13.46292114
1144,1144,13.61672974
1145,1145,13.94827271
1146,1146,14.67288208
1147,1147,15.98199463
1148,1148,17.08602905
1149,1149,19.13339233
1150,1150,21.46792603
1151,1151,23.74771118
1152,1152,26.18478394
1153,1153,28.58764648
1154,1154,30.93582153
1155,1155,33.02764893
1156,1156,34.7605896
1157,1157,35.54330444
1158,1158,35.87484741
1159,1159,35.81332397
1160,1160,35.62875366
1161,1161,35.26986694
1162,1162,34.88705444
1163,1163,34.61361694
1164,1164,34.76742554
1165,1165,35.09213257
1166,1166,34.90756226
1167,1167,33.70443726
1168,1168,31.4211731
1169,1169,28.90209961
1170,1170,26.76925659
1171,1171,24.99530029
1172,1172,23.18716431
1173,1173,21.61489868
1174,1174,20.52453613
1175,1175,19.99133301
1176,1176,20.16223145
1177,1177,20.85949707
1178,1178,22.29849243
1179,1179,23.51870728
1180,1180,24.59197998
1181,1181,25.13546753
1182,1182,25.77120972
1183,1183,26.40011597
1184,1184,27.14523315
1185,1185,27.95187378
